PMC2741455	R04010	139	148	FA 17:2(8E,10E);12OH
PMC2741455	R04010	234	242	LPC 18:2
PMC2741455	R04010	216	223	PC 10:0/4:0
PMC2741455	R04010	204	214	LPC P-16:0/0:0
PMC2741455	R04010	244	255	PE-NMe 18:1(19E)/18:1(9E)
PMC2741455	R04010	225	232	PE 9:0/10:0
PMC2741455	R04011	0	7	PC 14:0/20:1(11Z)
PMC2741455	R04011	45	52	PC 14:0/22:1(13Z)
PMC2818256	A00001	27	36	FAL 9:1(2);OH
PMC2818256	A00001	47	56	FAL 9:1(2);oxo
PMC2818256	A00004	27	35	FA 9:1(2);OH
PMC2818256	A00004	78	86	FA 9:1(2);oxo
PMC2818256	A01000	34	43	FAL 9:1(2);OH
PMC2818256	A01000	45	54	FAL 9:1(2);oxo
PMC2826632	D00022	23	30	TG 48:1
PMC2826632	D00022	14	21	TG 48:2
PMC2826632	D00022	35	42	TG 50:2
PMC2826632	D00023	81	88	TG 48:2
PMC2826632	D00024	31	38	TG 48:1
PMC2826632	D00024	19	26	TG 48:2
PMC2826632	D00031	147	154	PC 36:3
PMC2826632	D00031	159	166	PC 38:3
PMC2826632	D00040	134	144	SM 38:2;O2
PMC2826632	D00041	33	43	SM 42:1;O2
PMC2826632	D00041	48	58	SM 42:2;O2
PMC2826632	D00043	89	99	SM 30:1;O2
PMC2826632	D00044	26	33	TG 52:1
PMC2826632	D00053	74	81	TG 54:5
PMC2826632	D00055	0	7	TG 54:5
PMC2826632	D00056	15	22	TG 54:5
PMC2826632	D00057	14	21	TG 54:5
PMC2826632	M00012	51	58	FA 20:5
PMC2826632	M00013	2	9	FA 22:6
PMC2826632	M04001	49	56	FA 11:0
PMC2826838	M01001	46	56	FA 6:0;6NH2;2OH
PMC2826838	M03000	230	240	FA 6:0;6NH2;2OH
PMC2826838	M05000	34	44	FA 6:0;6NH2;2OH
PMC2833138	R01011	195	204	FA 20:4(5Z,8Z,11Z,13E);15OH
PMC2833138	R01011	195	204	FA 20:4(5Z,9E,11Z,14Z);8OH
PMC2833138	R01022	58	67	FA 20:4(5Z,8Z,11Z,13E);15OH
PMC2833138	R01022	58	67	FA 20:4(5Z,9E,11Z,14Z);8OH
PMC2836072	M01031	0	9	ST 27:1;O
PMC2836072	M02031	0	9	ST 27:1;O
PMC2836072	M05014	0	9	ST 27:1;O
PMC2836072	R00004	0	9	ST 27:1;O
